imdb_rating,imdb_votes,director,year,title
7.8,"740,633",David Fincher,2008,The Curious Case of Benjamin Button
7.7,"763,121",Matthew Vaughn,2011,X-Men: First Class
6.6,"410,756",Francis Lawrence,2015,The Hunger Games: Mockingjay - Part 2
6.1,"176,065",Jon Turteltaub,2010,The Sorcerer's Apprentice
5.7,"114,775",Wolfgang Petersen,2006,Poseidon
6.2,"133,655",James Bobin,2016,Alice Through the Looking Glass
6.1,"357,973","Chris Miller, Raman Hui",2007,Shrek the Third
6.7,"294,721",Duncan Jones,2016,Warcraft
6.3,"305,926",Alan Taylor,2015,Terminator Genisys
6.3,"176,567",Michael Apted,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader
6.3,"367,857",Michael Bay,2001,Pearl Harbor
7.1,"714,583",Michael Bay,2007,Transformers
5.6,"182,330",Oliver Stone,2004,Alexander
7.5,"693,356",David Yates,2007,Harry Potter and the Order of the Phoenix
7.7,"746,138",Mike Newell,2005,Harry Potter and the Goblet of Fire
6.4,"534,419",Peter Berg,2008,Hancock
7.2,"870,487",Francis Lawrence,2007,I Am Legend
6.7,"566,515",Tim Burton,2005,Charlie and the Chocolate Factory
8.1,"940,588","Brad Bird, Jan Pinkava",2007,Ratatouille
8.2,"1,709,629",Christopher Nolan,2005,Batman Begins
6.7,"268,534","Eric Darnell, Tom McGrath",2008,Madagascar: Escape 2 Africa
6.0,"226,638",Shawn Levy,2009,Night at the Museum: Battle of the Smithsonian
6.5,"567,143",Gavin Hood,2009,X-Men Origins: Wolverine
6.7,"572,491","Lana Wachowski, Lilly Wachowski",2003,The Matrix Revolutions
7.4,"708,011","Chris Buck, Jennifer Lee",2013,Frozen
7.2,"666,077","Lana Wachowski, Lilly Wachowski",2003,The Matrix Reloaded
6.7,"776,160",Alan Taylor,2013,Thor: The Dark World
8.1,"1,198,396",George Miller,2015,Mad Max: Fury Road
6.7,"324,063",Ron Howard,2009,Angels & Demons
7.0,"963,947",Kenneth Branagh,2011,Thor
6.8,"241,714","Byron Howard, Chris Williams",2008,Bolt
5.1,"52,843",Hoyt Yeatman,2009,G-Force
5.7,"201,440",Jonathan Liebesman,2012,Wrath of the Titans
6.2,"291,971",Tim Burton,2012,Dark Shadows
7.4,"445,302",Christopher McQuarrie,2015,Mission: Impossible - Rogue Nation
5.9,"116,889",Joe Johnston,2010,The Wolfman
6.1,"195,239","Simon J. Smith, Steve Hickner",2007,Bee Movie
7.3,"349,971",Jennifer Yuh Nelson,2011,Kung Fu Panda 2
3.9,"180,350",M. Night Shyamalan,2010,The Last Airbender
6.9,"424,323",J.J. Abrams,2006,Mission: Impossible III
6.3,"247,710",Roland Emmerich,2013,White House Down
5.4,"24,948",Simon Wells,2011,Mars Needs Moms
6.6,"147,280","David Bowers, Sam Fell",2006,Flushed Away
5.7,"69,251",Joe Wright,2015,Pan
6.7,"83,043",Rob Minkoff,2014,Mr. Peabody & Sherman
7.3,"609,875",Wolfgang Petersen,2004,Troy
6.8,"215,044","Eric Darnell, Tom McGrath, Conrad Vernon",2012,Madagascar 3: Europe's Most Wanted
6.1,"236,957",Lee Tamahori,2002,Die Another Day
7.8,"486,775",Ivan Reitman,1984,Ghostbusters
6.7,"476,912",Michael Bay,1998,Armageddon
6.2,"428,899",Barry Sonnenfeld,2002,Men in Black II
6.3,"179,258",Robert Zemeckis,2007,Beowulf
7.1,"215,526","Alessandro Carloni, Jennifer Yuh Nelson",2016,Kung Fu Panda 3
7.4,"564,485",Brad Bird,2011,Mission: Impossible - Ghost Protocol
7.2,"207,985",Peter Ramsey,2012,Rise of the Guardians
6.2,"160,407",Dean Parisot,2005,Fun with Dick and Jane
7.8,"499,167",Edward Zwick,2003,The Last Samurai
6.0,"186,124",Ridley Scott,2014,Exodus: Gods and Kings
7.9,"636,122",J.J. Abrams,2009,Star Trek
7.4,"958,249",Sam Raimi,2002,Spider-Man
7.8,"398,152",Dean DeBlois,2014,How to Train Your Dragon 2
5.4,"134,931",Alex Proyas,2016,Gods of Egypt
5.1,"58,161",Rob Cohen,2005,Stealth
7.6,"608,552",Zack Snyder,2009,Watchmen
6.6,"179,234",Richard Donner,1998,Lethal Weapon 4
5.7,"290,412",Ang Lee,2003,Hulk
5.7,"192,513",Jon M. Chu,2013,G.I. Joe: Retaliation
6.1,"108,721",Breck Eisner,2005,Sahara
6.4,"86,028","Hironobu Sakaguchi, Motonori Sakakibara",2001,Final Fantasy: The Spirits Within
6.9,"966,241",Joe Johnston,2011,Captain America: The First Avenger
6.4,"218,190",Michael Apted,1999,The World Is Not Enough
7.5,"253,886",Peter Weir,2003,Master and Commander: The Far Side of the World
5.6,"279,805",Bill Condon,2012,The Twilight Saga: Breaking Dawn - Part 2
5.8,"50,308","George Miller, Gary Eck, David Peers",2011,Happy Feet Two
6.6,"563,613",Louis Leterrier,2008,The Incredible Hulk
6.3,"98,409",Steven Spielberg,2016,The BFG
8.0,"947,792",Alejandro G. Iñárritu,2016,The Revenant
6.4,"123,630",David Soren,2013,Turbo
7.3,"314,167",Gore Verbinski,2011,Rango
6.6,"113,406","Eric Darnell, Simon J. Smith",2014,Penguins of Madagascar
8.0,"681,537",Paul Greengrass,2007,The Bourne Ultimatum
7.6,"574,537","Mark Osborne, John Stevenson",2008,Kung Fu Panda
7.2,"778,683",Peyton Reed,2015,Ant-Man
7.5,"768,630",Francis Lawrence,2013,The Hunger Games: Catching Fire
6.5,"120,478",Tim Johnson,2015,Home
6.6,"502,091",Steven Spielberg,2005,War of the Worlds
6.6,"288,014",Michael Bay,2003,Bad Boys II
6.6,"208,940",Chris Miller,2011,Puss in Boots
6.5,"341,745",Phillip Noyce,2010,Salt
5.8,"275,793",Darren Aronofsky,2014,Noah
7.3,"253,447",Steven Spielberg,2011,The Adventures of Tintin
7.9,"761,199",Alfonso Cuarón,2004,Harry Potter and the Prisoner of Azkaban
6.6,"132,196",Baz Luhrmann,2008,Australia
4.8,"216,012",M. Night Shyamalan,2013,After Earth
6.4,"72,205","Eric Leighton, Ralph Zondag",2000,Dinosaur
6.2,"148,225",Shawn Levy,2014,Night at the Museum: Secret of the Tomb
7.3,"322,951",Tom McGrath,2010,Megamind
N/A,41,N/A,2020–2021,Harry Potter and the Philosopher's Stone
5.6,"150,302",Robert Schwentke,2013,R.I.P.D.
8.1,"1,323,403",Gore Verbinski,2003,Pirates of the Caribbean: The Curse of the Black Pearl
6.6,"541,925",Francis Lawrence,2014,The Hunger Games: Mockingjay - Part 1
6.6,"480,857",Ron Howard,2006,The Da Vinci Code
6.3,"109,310",Carlos Saldanha,2014,Rio 2
N/A,N/A,N/A,2008,X2
7.3,"430,221",Justin Lin,2011,Fast Five
7.4,"498,829",Guy Ritchie,2011,Sherlock Holmes: A Game of Shadows
5.8,"303,998",Louis Leterrier,2010,Clash of the Titans
7.5,"378,339",Paul Verhoeven,1990,Total Recall
6.6,"137,391",John McTiernan,1999,The 13th Warrior
6.6,"325,874",Tony Gilroy,2012,The Bourne Legacy
7.5,"429,189",Tim Burton,1989,Batman & Robin
6.4,"331,546",Ron Howard,2000,How the Grinch Stole Christmas
6.5,"509,136",Roland Emmerich,2004,The Day After Tomorrow
6.1,"413,413",John Woo,2000,Mission: Impossible II
6.5,"186,840",Wolfgang Petersen,2000,The Perfect Storm
,,,,Fantastic 4: Rise of the Silver Surfer
7.9,"697,056",Ang Lee,2012,Life of Pi
5.3,"267,165",Mark Steven Johnson,2007,Ghost Rider
6.6,"256,031",Paul Greengrass,2016,Jason Bourne
4.9,"138,017",McG,2003,Charlie's Angels: Full Throttle
7.0,"691,831",Ridley Scott,2012,Prometheus
5.5,"60,920",Rob Minkoff,2002,Stuart Little 2
6.6,"489,527",Neill Blomkamp,2013,Elysium
6.6,"249,300",David Twohy,2004,The Chronicles of Riddick
7.6,"306,168",Paul Verhoeven,1987,RoboCop
6.1,"82,621","Lana Wachowski, Lilly Wachowski",2008,Speed Racer
5.4,"57,194",James L. Brooks,2010,How Do You Know
6.3,"224,032",James Mangold,2010,Knight and Day
7.0,"583,313",Joseph Kosinski,2013,Oblivion
7.7,"912,634",George Lucas,2005,Star Wars: Episode III - Revenge of the Sith
6.6,"815,170",George Lucas,2002,Star Wars: Episode II - Attack of the Clones
8.1,"1,072,549","Pete Docter, David Silverman, Lee Unkrich",2001,"Monsters, Inc."
6.7,"523,235",James Mangold,2013,The Wolverine
6.5,"917,424",George Lucas,1999,Star Wars: Episode I - The Phantom Menace
7.1,"249,657","Kirk DeMicco, Chris Sanders",2013,The Croods
5.2,"34,380","Frédéric Forestier, Thomas Langmann",2008,Asterix at the Olympic Games
6.1,"76,630",John Woo,2002,Windtalkers
6.1,"126,084",Cedric Nicolas-Troyan,2016,The Huntsman: Winter's War
5.8,"229,104",Jonathan Liebesman,2014,Teenage Mutant Ninja Turtles
7.7,"895,643",Alfonso Cuarón,2013,Gravity
6.1,"106,252",Roger Donaldson,1997,Dante's Peak
5.9,"105,290",Dave Green,2016,Teenage Mutant Ninja Turtles: Out of the Shadows
5.7,"373,343",Tim Story,2005,Fantastic Four
6.5,"404,946",Shawn Levy,2006,Night at the Museum
6.1,"275,264",Brad Peyton,2015,San Andreas
6.5,"213,704",Roger Spottiswoode,1997,Tomorrow Never Dies
7.2,"305,970",Roland Emmerich,2000,The Patriot
6.5,"435,634",Steven Soderbergh,2004,Ocean's Twelve
6.5,"588,762",Doug Liman,2005,Mr. & Mrs. Smith
N/A,N/A,Joe Lemieux,2024,Insurgent
7.5,"401,380",Martin Scorsese,2004,The Aviator
4.9,"77,339",Rob Letterman,2010,Gulliver's Travels
5.8,"168,421",Michel Gondry,2011,The Green Hornet
