imdb_rating,imdb_votes,director,year,title
7.2,"163,042",Anthony Minghella,2003,Cold Mountain
6.8,"360,572","Albert Hughes, Allen Hughes",2010,The Book of Eli
5.3,"99,482",Les Mayfield,1997,Flubber
5.0,"82,177",Jan de Bont,1999,The Haunting
6.5,"228,174",Joe Pytka,1996,Space Jam
5.7,"97,155",Shawn Levy,2006,The Pink Panther
5.5,"185,888",Scott Derrickson,2008,The Day the Earth Stood Still
6.7,"111,559",Richard Donner,1997,Conspiracy Theory
7.6,"607,560",David Ayer,2014,Fury
5.9,"86,273",Ivan Reitman,1998,Six Days Seven Nights
4.6,"24,066",Eric Brevig,2010,Yogi Bear
7.2,"92,551","Kelly Asbury, Lorna Cook",2002,Spirit: Stallion of the Cimarron
5.2,"68,404",Frank Coraci,2011,Zookeeper
7.3,"111,568",N/A,2018–2021,Lost in Space
6.6,"121,188",Jonathan Demme,2004,The Manchurian Candidate
6.8,970,Henry Jaglom,1997,Déjà Vu
6.6,"160,207",Genndy Tartakovsky,2015,Hotel Transylvania 2
7.1,"43,775","James Algar, Gaëtan Brizzi, Paul Brizzi",1999,Fantasia 2000
6.0,"134,417",Simon Wells,2002,The Time Machine
5.7,"31,958",Ron Underwood,1998,Mighty Joe Young
6.5,"202,348",Dominic Sena,2001,Swordfish
6.0,"112,175",Martin Campbell,2005,The Legend of Zorro
7.0,"117,520",Vincent Ward,1998,What Dreams May Come
5.3,"119,012",Steven Brill,2000,Little Nicky
5.9,"131,293",Terry Gilliam,2005,The Brothers Grimm
6.4,"255,116",Tim Burton,1996,Mars Attacks!
6.1,"139,541",Ivan Reitman,2001,Evolution
6.9,"83,217",Lee Tamahori,1997,The Edge
6.3,"183,342",Jonathan Mostow,2009,Surrogates
7.3,"63,884",Roger Donaldson,2000,Thirteen Days
6.0,"80,522",Rob Cohen,1996,Daylight
8.5,"7,496",N/A,1999,Walking With Dinosaurs
2.5,"85,609",Roger Christian,2000,Battlefield Earth
5.8,"41,828",Joe Dante,2003,Looney Tunes: Back in Action
5.8,"46,378",Rob Marshall,2009,Nine
5.6,"68,835",Richard Donner,2003,Timeline
6.1,"81,394",Kevin Costner,1997,The Postman
5.9,"37,237",George Miller,1998,Babe: Pig in the City
5.9,"115,994",Breck Eisner,2015,The Last Witch Hunter
5.7,"61,121",Antony Hoffman,2000,Red Planet
6.0,"43,300",Luc Besson,2006,Arthur and the Invisibles
7.7,"10,283","Jacques Perrin, Jacques Cluzaud",2008,Oceans
4.2,"21,028",Peter Hyams,2005,A Sound of Thunder
5.5,"120,980",Paul W.S. Anderson,2014,Pompeii
4.3,658,Andrés Couturier,2015,Top Cat Begins
8.2,"1,052,138",Ron Howard,2002,A Beautiful Mind
8.5,"1,248,136","Roger Allers, Rob Minkoff",1994,The Lion King
5.7,"120,244",Brad Peyton,2012,Journey 2: The Mysterious Island
,,,,Cloudy with a Chance of Meatballs 2
,,,,Red Dragon
,,,,Hidalgo
,,,,Jack and Jill
